"STATISTIC","STATISTIC Label","TLIST(A1)","Year","C03137V03789","Type of Cattle","C02196V04140","Region and County","UNIT","VALUE"
"AAA10","Number of Cattle in June","2015","2015","-","Total cattle","-","State","000 Head","6963.5"
"AAA10","Number of Cattle in June","2015","2015","-","Total cattle","IE04","Northern and Western","000 Head","1723.9"
"AAA10","Number of Cattle in June","2015","2015","-","Total cattle","IE041","Border","000 Head","793.6"
"AAA10","Number of Cattle in June","2015","2015","-","Total cattle","IE04128","Leitrim","000 Head","65"
"AAA10","Number of Cattle in June","2015","2015","-","Total cattle","IE04131","Sligo","000 Head","113.5"
"AAA10","Number of Cattle in June","2015","2015","-","Total cattle","IE04132","Cavan","000 Head","223"
"AAA10","Number of Cattle in June","2015","2015","-","Total cattle","IE04133","Donegal","000 Head","185.5"
"AAA10","Number of Cattle in June","2015","2015","-","Total cattle","IE04134","Monaghan","000 Head","206.7"
"AAA10","Number of Cattle in June","2015","2015","-","Total cattle","IE042","West","000 Head","930.2"
"AAA10","Number of Cattle in June","2015","2015","-","Total cattle","IE04225","Galway","000 Head","438.3"
"AAA10","Number of Cattle in June","2015","2015","-","Total cattle","IE04229","Mayo","000 Head","281.5"
"AAA10","Number of Cattle in June","2015","2015","-","Total cattle","IE04230","Roscommon","000 Head","210.5"
"AAA10","Number of Cattle in June","2015","2015","-","Total cattle","IE05","Southern","000 Head","3750.1"
"AAA10","Number of Cattle in June","2015","2015","-","Total cattle","IE051","Mid-West","000 Head","1358.3"
"AAA10","Number of Cattle in June","2015","2015","-","Total cattle","IE05116","Clare","000 Head","286.4"
"AAA10","Number of Cattle in June","2015","2015","-","Total cattle","IE05118","Limerick","000 Head","409"
"AAA10","Number of Cattle in June","2015","2015","-","Total cattle","IE05122","Tipperary","000 Head","663"
"AAA10","Number of Cattle in June","2015","2015","-","Total cattle","IE052","South-East","000 Head","992.6"
"AAA10","Number of Cattle in June","2015","2015","-","Total cattle","IE05201","Carlow","000 Head","100"
"AAA10","Number of Cattle in June","2015","2015","-","Total cattle","IE05207","Kilkenny","000 Head","349.4"
"AAA10","Number of Cattle in June","2015","2015","-","Total cattle","IE05214","Wexford","000 Head","285.3"
"AAA10","Number of Cattle in June","2015","2015","-","Total cattle","IE05225","Waterford","000 Head","258"
"AAA10","Number of Cattle in June","2015","2015","-","Total cattle","IE053","South-West","000 Head","1399.1"
"AAA10","Number of Cattle in June","2015","2015","-","Total cattle","IE05316","Cork","000 Head","1059.1"
"AAA10","Number of Cattle in June","2015","2015","-","Total cattle","IE05319","Kerry","000 Head","340.1"
"AAA10","Number of Cattle in June","2015","2015","-","Total cattle","IE06","Eastern and Midland","000 Head","1489.6"
"AAA10","Number of Cattle in June","2015","2015","-","Total cattle","IE061","Dublin","000 Head","23"
"AAA10","Number of Cattle in June","2015","2015","-","Total cattle","IE06106","Dublin and Mid-East","000 Head","678.5"
"AAA10","Number of Cattle in June","2015","2015","-","Total cattle","IE06206","Kildare","000 Head","136.7"
"AAA10","Number of Cattle in June","2015","2015","-","Total cattle","IE06210","Louth","000 Head","87.1"
"AAA10","Number of Cattle in June","2015","2015","-","Total cattle","IE06211","Meath","000 Head","309.3"
"AAA10","Number of Cattle in June","2015","2015","-","Total cattle","IE06215","Wicklow","000 Head","122.3"
"AAA10","Number of Cattle in June","2015","2015","-","Total cattle","IE063","Midland","000 Head","811.1"
