"STATISTIC","STATISTIC Label","TLIST(A1)","Year","C02148V02965","Type of Animal","C02196V04140","Region","UNIT","VALUE"
"AAA09","Number of Livestock in June","2015","2015","01","Total cattle","-","State","000 Head","6963.5"
"AAA09","Number of Livestock in June","2015","2015","01","Total cattle","IE04","Northern and Western","000 Head","1723.9"
"AAA09","Number of Livestock in June","2015","2015","01","Total cattle","IE041","Border","000 Head","793.6"
"AAA09","Number of Livestock in June","2015","2015","01","Total cattle","IE042","West","000 Head","930.2"
"AAA09","Number of Livestock in June","2015","2015","01","Total cattle","IE05","Southern","000 Head","3750.1"
"AAA09","Number of Livestock in June","2015","2015","01","Total cattle","IE051","Mid-West","000 Head","1358.3"
"AAA09","Number of Livestock in June","2015","2015","01","Total cattle","IE052","South-East","000 Head","992.6"
"AAA09","Number of Livestock in June","2015","2015","01","Total cattle","IE053","South-West","000 Head","1399.1"
"AAA09","Number of Livestock in June","2015","2015","01","Total cattle","IE06","Eastern and Midland","000 Head","1489.6"
"AAA09","Number of Livestock in June","2015","2015","01","Total cattle","IE06106","Dublin and Mid-East","000 Head","678.5"
"AAA09","Number of Livestock in June","2015","2015","01","Total cattle","IE063","Midland","000 Head","811.1"
"AAA09","Number of Livestock in June","2015","2015","0111","Cows","-","State","000 Head","2371.6"
"AAA09","Number of Livestock in June","2015","2015","0111","Cows","IE04","Northern and Western","000 Head","574.5"
"AAA09","Number of Livestock in June","2015","2015","0111","Cows","IE041","Border","000 Head","276.8"
"AAA09","Number of Livestock in June","2015","2015","0111","Cows","IE042","West","000 Head","297.7"
"AAA09","Number of Livestock in June","2015","2015","0111","Cows","IE05","Southern","000 Head","1364"
"AAA09","Number of Livestock in June","2015","2015","0111","Cows","IE051","Mid-West","000 Head","463.1"
"AAA09","Number of Livestock in June","2015","2015","0111","Cows","IE052","South-East","000 Head","334.9"
"AAA09","Number of Livestock in June","2015","2015","0111","Cows","IE053","South-West","000 Head","566.1"
"AAA09","Number of Livestock in June","2015","2015","0111","Cows","IE06","Eastern and Midland","000 Head","433.1"
"AAA09","Number of Livestock in June","2015","2015","0111","Cows","IE06106","Dublin and Mid-East","000 Head","203.2"
"AAA09","Number of Livestock in June","2015","2015","0111","Cows","IE063","Midland","000 Head","229.8"
"AAA09","Number of Livestock in June","2015","2015","01111","Dairy cows","-","State","000 Head","1295.8"
